Peaje_key,Admon,Nombre,Nombre_proyecto,Responsable,Telefono,Telefono_gerente,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,eje_adicional,eje_adicional_2
VALENCIA-Yuma concecionaria,Yuma concecionaria,VALENCIA,RUTA DEL SOL SECTOR 3,Concesión ANI,3165280411,018000945566 Opción 1,8100,9000,19500,25100,28500,0,0,0,0,8700,9000
TURBACO-Ruta Caribe,Ruta Caribe,TURBACO,RUTA CARIBE,Concesión ANI,3212057230,3212057227,3100,7600,9300,0,0,0,0,0,0,0,0
BAYUNCA-Autopistas del sol,Autopistas del sol,BAYUNCA,RUTA CARIBE,Concesión ANI,3212057236,3212057227,8000,8900,19800,26400,30200,0,0,0,0,8400,8700
MARAHUACO-Consorcio vía al mar,Consorcio vía al mar,MARAHUACO,CARTAGENA-BARRANQUILLA,Concesión ANI,3124572713 - 3157210245 O # 212 Movistar / 3106303666 O # 211 Claro / 3004510014 O # 211 Tigo,(5) 353 76 61 - 353 76 62 - 353 76 65,11300,17200,12300,21800,68700,91800,101900,0,0,0,0
TUCURINCA-Concesión (Yuma),Concesión (Yuma),TUCURINCA,RUTA DEL SOL SECTOR 3,Concesión ANI,3176486588,018000945566 Opción 1,8500,9400,21900,28800,33400,0,0,0,0,9800,10300
SABANAGRANDE-Consorcio Ruta Caribe,Consorcio Ruta Caribe,SABANAGRANDE,RUTA CARIBE,Concesión ANI,3006738048,3212057227,8500,9200,20200,26400,30500,0,0,0,0,8400,8700
SAN JUAN-INVIAS,INVIAS,SAN JUAN,IP - CESAR - GUAJIRA,INVIAS,-1,-1,9300,9900,10800,11500,12400,35600,40800,0,0,0,0
GALAPA-Autopista del Sol,Autopista del Sol,GALAPA,CARTAGENA - BARRANQUILLA CIRCUNVALAR DE LA PROSPERIDAD,Concesión ANI,3212057229,3212057229,8500,9200,19700,25300,28500,0,0,0,0,8700,9000
PUERTO COLOMBIA-Consorcio vía al mar,Consorcio vía al mar,PUERTO COLOMBIA,CARTAGENA-BARRANQUILLA,Concesión ANI,3124572706 - 3157210245 o #212 Movistar / 3106303666 o #211 Claro / 3004510014 o #211 Tigo,(5) 353 76 61 - 353 76 62 - 353 76 65,11300,17200,12300,21800,68700,91800,101900,0,0,0,0
PAPIROS-Consorcio vía al mar,Consorcio vía al mar,PAPIROS,CARTAGENA-BARRANQUILLA,Concesión ANI,3173317167,3157210245 o #212 Movistar / 3106303666 o #211 Claro / 3004510014 o #211 Tigo,4800,5700,11400,20200,63600,85000,94400,0,0,0,0
EL EBANAL-Concesión  Santa Marta - Paraguachón S.A .,Concesión  Santa Marta - Paraguachón S.A .,EL EBANAL,SANTA MARTA-RIOHACHA-PARAGUACHÓN,Concesión ANI,3143300807 - 3143300807 - (5) 7288542 /43,(5) 728 85 43,9600,14800,11900,18900,27700,44700,56400,0,0,0,0
PARAGUACHON-Concesión  Santa Marta Paraguachón S.A.,Concesión  Santa Marta Paraguachón S.A.,PARAGUACHON,SANTA MARTA-RIOHACHA-PARAGUACHÓN,Concesión ANI,3143300807 - 3143300807 - (5) 7288542 /43,(5) 728 85 43,9600,14800,11900,18900,27700,44700,56400,0,0,0,0
ALTO PINO-Concesión  Santa Marta Paraguachón S.A,Concesión  Santa Marta Paraguachón S.A,ALTO PINO,SANTA MARTA-RIOHACHA-PARAGUACHÓN,Concesión ANI,3143300807 - 314 3300807 - (5) 7288542 /43,(5) 728 85 43,9600,14800,11900,18900,27700,44700,56400,0,0,0,0
