No.;SiglaProyecto;NombreProyecto;NombreEstacionPeaje; 2016Ene ; 2016Feb ; 2016Mar ; 2016Abr ; 2016May ; 2016Jun ; 2016Jul ; 2016Ago ; 2016Sep ; 2016Oct ; 2016Nov ; 2016Dic ; 2017Ene ; 2017Feb ; 2017Mar ; 2017Abr ; 2017May ; 2017Jun ; 2017Jul ; 2017Ago ; 2017Sep ; 2017Oct ; 2017Nov ; 2017Dic ; 2018Ene ; 2018Feb ; 2018Mar ; 2018Abr ; 2018May ; 2018Jun ; 2018Jul ; 2018Ago ; 2018Sept ; 2018Oct ; 2018Nov ; 2018Dic 
111;GHP;GIRARDOT - HONDA - PUERTO SALGAR;GUATAQUI; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
112;IP-AN;IP - ACCESOS NORTE;ANDES; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40.242 ; 1.088.479 ; 1.013.585 ; 1.141.929 ; 1.075.302 ; 1.141.293 ; 1.117.738 ; 1.113.533 ; 1.170.456 ; 1.109.877 ; 1.131.615 ; 1.097.962 ; 1.245.613 
113;IP-AN;IP - ACCESOS NORTE;FUSCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3.416 ; 83.214 ; 95.321 ; 104.468 ; 92.256 ; 101.181 ; 98.963 ; 92.087 ; 122.218 ; 123.667 ; 114.977 ; 116.932 ; 125.032 
114;IP-AN;IP - ACCESOS NORTE;UNISABANA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 234 ; 6.712 ; 6.497 ; 6.258 ; 6.220 ; 5.627 ; 5.477 ; 5.819 ; 4.441 ; 4.037 ; 4.690 ; 5.073 ; 4.812 
115;IP-AB;IP - ANTIOQUIA BOLIVAR;CAIMANERA; -   ; -   ; -   ; -   ; -   ; -   ; 3.547 ; 49.557 ; 42.476 ; 50.342 ; 51.221 ; 66.137 ; 3.032 ; 1.578 ; 1.590 ; 2.405 ; 1.414 ; 1.749 ; 1.718 ; 1.602 ; 1.388 ; 1.552 ; 1.578 ; 2.008 ; 89.593 ; 40.293 ; 61.388 ; 43.498 ; 42.288 ; 55.883 ; 54.090 ; 46.704 ; 39.637 ; 46.811 ; 44.025 ; 60.317 
116;IP-AB;IP - ANTIOQUIA BOLIVAR;CEDROS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.778 ; 1.756 ; 1.750 ; 1.770 ; 2.042 ; 61.109 ; 47.349 ; 58.944 ; 51.514 ; 58.799 ; 67.981 ; 59.113 ; 55.198 ; 54.243 ; 57.076 ; 53.727 ; 64.190 
117;IP-AB;IP - ANTIOQUIA BOLIVAR;LA APARTADA; 167.764 ; 107.243 ; 129.057 ; 103.840 ; 110.086 ; 106.122 ; 97.907 ; 113.156 ; 98.690 ; 106.531 ; 102.194 ; 125.142 ; 4.562 ; 3.092 ; 3.010 ; 3.597 ; 2.823 ; 3.210 ; 3.102 ; 3.262 ; 3.003 ; 3.154 ; 3.037 ; 4.051 ; 154.890 ; 91.808 ; 116.155 ; 104.712 ; 78.775 ; 59.339 ; 102.404 ; 106.610 ; 93.183 ; 105.480 ; 102.281 ; 135.689 
118;IP-AB;IP - ANTIOQUIA BOLIVAR;MANGUITOS; -   ; -   ; -   ; -   ; -   ; 28.198 ; 116.586 ; 138.851 ; 125.569 ; 134.411 ; 127.987 ; 157.311 ; 5.546 ; 4.090 ; 4.070 ; 4.614 ; 3.989 ; 4.348 ; 4.193 ; 4.084 ; 4.050 ; 4.124 ; 4.175 ; 5.053 ; 175.756 ; 110.916 ; 132.792 ; 122.133 ; 99.084 ; 80.263 ; 121.014 ; 124.377 ; 109.983 ; 124.871 ; 119.806 ; 150.954 
119;IP-AB;IP - ANTIOQUIA BOLIVAR;MATA DE CAÑA; 135.359 ; 79.026 ; 105.414 ; 73.636 ; 83.863 ; 82.108 ; 85.713 ; 73.147 ; 64.695 ; 73.969 ; 70.050 ; 88.102 ; 3.605 ; 2.014 ; 2.112 ; 2.905 ; 2.042 ; 2.486 ; 2.513 ; 2.376 ; 2.123 ; 2.257 ; 2.279 ; 2.791 ; 109.344 ; 54.227 ; 79.789 ; 61.920 ; 62.764 ; 78.611 ; 81.659 ; 73.893 ; 66.819 ; 76.946 ; 69.842 ; 90.098 
120;IP-AB;IP - ANTIOQUIA BOLIVAR;PURGATORIO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2.891 ; 2.830 ; 2.925 ; 3.021 ; 3.504 ; 117.549 ; 79.774 ; 96.913 ; 86.736 ; 82.801 ; 81.844 ; 91.719 ; 92.291 ; 85.496 ; 93.664 ; 90.131 ; 108.378 
